pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level
86	106	Guinea	40700	Boke	1574	Koundara	50	Beans	54	GNF	15	Retail	5	KG	41609	12	2013	6500	WFP	12	Koundara	ADM2
87	106	Guinea	40700	Boke	1574	Koundara	50	Beans	54	GNF	15	Retail	5	KG	41579	11	2013	6500	WFP	12	Koundara	ADM2
88	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41609	12	2013	4000	WFP	12	Koundara	ADM2
89	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41579	11	2013	4000	WFP	12	Koundara	ADM2
90	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41518	9	2013	4000	WFP	12	Koundara	ADM2
91	106	Guinea	40700	Boke	1574	Koundara	55	Bread	54	GNF	15	Retail	33	Unit	41487	8	2013	4000	WFP	12	Koundara	ADM2
92	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41609	12	2013	20000	WFP	12	Koundara	ADM2
93	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41579	11	2013	20000	WFP	12	Koundara	ADM2
94	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41518	9	2013	2000	WFP	12	Koundara	ADM2
95	106	Guinea	40700	Boke	1574	Koundara	109	Meat	54	GNF	15	Retail	5	KG	41487	8	2013	20000	WFP	12	Koundara	ADM2
96	106	Guinea	40700	Boke	1574	Koundara	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41609	12	2013	12000	WFP	12	Koundara	ADM2
97	106	Guinea	40700	Boke	1574	Koundara	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41579	11	2013	12000	WFP	12	Koundara	ADM2
98	106	Guinea	40700	Boke	1574	Koundara	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41518	9	2013	11000	WFP	12	Koundara	ADM2
99	106	Guinea	40700	Boke	1574	Koundara	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41487	8	2013	9500	WFP	12	Koundara	ADM2
100	106	Guinea	40700	Boke	1574	Koundara	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41609	12	2013	3900	WFP	12	Koundara	ADM2
101	106	Guinea	40700	Boke	1574	Koundara	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41579	11	2013	4000	WFP	12	Koundara	ADM2
102	106	Guinea	40700	Boke	1574	Koundara	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41518	9	2013	5500	WFP	12	Koundara	ADM2
103	106	Guinea	40700	Boke	1574	Koundara	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41487	8	2013	5500	WFP	12	Koundara	ADM2
104	106	Guinea	40700	Boke	1574	Koundara	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41699	3	2014	5000	WFP	12	Koundara	ADM2
105	106	Guinea	40700	Boke	1574	Koundara	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41609	12	2013	4600	WFP	12	Koundara	ADM2
106	106	Guinea	40700	Boke	1574	Koundara	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41579	11	2013	5000	WFP	12	Koundara	ADM2
107	106	Guinea	40700	Boke	1574	Koundara	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41518	9	2013	6000	WFP	12	Koundara	ADM2
